               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032732,            0.018501,           0.0002303,             0.62495,             0.58292,             0.58784,              0.2733,            0.042607,            0.018774,          0.00023304,            0.008845,            0.008845,            0.008845
                  37,            0.031958,            0.018301,          0.00020142,             0.66015,             0.56428,             0.58737,             0.27418,            0.043782,            0.019854,          0.00026379,            0.008812,            0.008812,            0.008812
                  38,            0.031953,            0.018214,          0.00022968,              0.6365,             0.55741,             0.57665,             0.27405,            0.043296,            0.019682,          0.00026019,            0.008779,            0.008779,            0.008779
                  39,            0.030793,            0.017655,          0.00020031,             0.63036,             0.59961,             0.57595,             0.26599,            0.044353,            0.019304,          0.00024399,            0.008746,            0.008746,            0.008746
                  40,            0.031737,            0.018007,          0.00019638,             0.65092,             0.58881,             0.58398,             0.28195,            0.043262,            0.019931,          0.00023436,            0.008713,            0.008713,            0.008713
                  41,            0.031048,            0.017737,          0.00022405,             0.62042,             0.59349,             0.57959,             0.27543,            0.042905,            0.019644,          0.00025943,             0.00868,             0.00868,             0.00868
                  42,            0.031095,            0.017925,          0.00020214,             0.67563,             0.58292,             0.59093,             0.27644,            0.043603,            0.019746,          0.00026145,            0.008647,            0.008647,            0.008647
                  43,            0.030391,            0.017511,          0.00021331,             0.64255,             0.59078,             0.58881,             0.28207,            0.042868,             0.01951,          0.00022847,            0.008614,            0.008614,            0.008614
                  44,            0.030731,            0.017632,          0.00019797,             0.61583,             0.60059,             0.56853,             0.26519,            0.044031,            0.019429,          0.00023449,            0.008581,            0.008581,            0.008581
                  45,            0.029915,             0.01734,           0.0001896,             0.66205,             0.62414,             0.62545,             0.30606,            0.042329,            0.018937,          0.00023906,            0.008548,            0.008548,            0.008548
                  46,             0.03003,            0.017079,          0.00019384,             0.64312,             0.58889,             0.59386,             0.28364,            0.041711,            0.019967,           0.0002654,            0.008515,            0.008515,            0.008515
                  47,            0.029227,            0.017464,          0.00018072,             0.65292,              0.5947,              0.5918,             0.28737,            0.043877,            0.019807,          0.00033429,            0.008482,            0.008482,            0.008482
                  48,            0.029546,            0.016718,          0.00019366,             0.66708,             0.60761,             0.60395,             0.28911,            0.043171,            0.019863,          0.00029264,            0.008449,            0.008449,            0.008449
                  49,            0.029186,            0.016956,          0.00019269,             0.67183,             0.61138,             0.61421,             0.29652,            0.043428,            0.020098,          0.00024679,            0.008416,            0.008416,            0.008416
                  50,            0.028027,            0.016479,          0.00016863,             0.68247,             0.56133,             0.58556,             0.28455,             0.04346,            0.020139,           0.0002606,            0.008383,            0.008383,            0.008383
                  51,            0.028631,            0.016546,          0.00018907,             0.66484,             0.59178,             0.57871,             0.28654,             0.04362,            0.020221,          0.00028338,             0.00835,             0.00835,             0.00835
                  52,             0.02869,            0.016406,          0.00018293,             0.64705,             0.59274,              0.5943,             0.28713,            0.043734,            0.020429,          0.00029311,            0.008317,            0.008317,            0.008317
